total_ic_mou_9,total_og_mou_9,vol_2g_mb_9,vol_3g_mb_9,label
0.0,0.0,0.0,0.0,1.0
188.04,72.11,0.0,0.0,0.0
517.74,124.94,0.0,8.42,0.0
305.38,362.54,0.0,0.0,0.0
205.31,104.59,0.0,0.0,0.0
205.39,185.71,0.0,0.0,0.0
2572.49,65.91,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
34.91,142.18,0.0,0.0,0.0
412.63,151.33,0.0,0.0,0.0
10.43,76.58,241.27,0.0,0.0
146.03,0.01,0.0,0.0,0.0
79.91,77.31,0.0,0.0,0.0
631.86,446.09,0.0,0.0,0.0
339.21,39.89,0.0,0.0,0.0
198.28,931.94,0.0,0.0,0.0
334.56,255.74,0.0,0.0,0.0
87.13,631.08,0.0,0.0,0.0
25.66,15.33,0.0,0.0,0.0
50.38,25.31,0.0,0.0,0.0
240.93,293.83,0.0,0.0,0.0
252.61,1031.53,0.0,0.0,0.0
7.51,0.68,0.0,0.0,0.0
127.48,127.63,13.93,314.74,0.0
330.03,627.78,0.0,0.0,0.0
81.49,278.09,0.0,0.0,0.0
5.16,5.89,1527.99,0.0,0.0
2.34,228.19,0.0,0.0,0.0
104.39,41.34,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
875.18,65.86,0.0,0.0,0.0
1.68,96.64,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
114.16,1.7,30.92,5588.11,0.0
48.21,14.54,0.03,0.0,0.0
0.0,0.0,0.0,0.0,1.0
589.89,344.08,0.0,0.0,0.0
234.28,83.91,0.0,0.0,0.0
114.09,708.04,0.0,0.0,0.0
51.29,0.0,239.34,0.0,0.0
74.23,14.54,8.05,48.16,0.0
165.84,89.13,0.0,0.0,0.0
213.08,103.21,0.0,0.0,0.0
113.24,204.73,0.0,0.0,0.0
131.26,88.51,23.29,768.06,0.0
0.0,0.0,0.0,0.0,1.0
42.24,178.83,939.53,0.0,0.0
165.56,43.96,53.59,698.04,0.0
894.81,2319.01,0.0,0.0,0.0
295.89,137.24,0.0,0.0,0.0
134.78,162.74,0.0,0.0,0.0
20.61,4.64,0.0,0.0,0.0
2.56,0.0,166.14,0.0,0.0
680.61,503.06,0.82,0.0,0.0
125.83,1917.98,0.0,0.0,0.0
149.74,114.59,0.0,0.0,0.0
225.34,127.48,137.12,835.99,0.0
1047.41,326.29,22.05,4305.54,0.0
87.21,59.81,0.0,0.0,0.0
546.59,292.63,0.0,0.0,0.0
233.49,243.91,0.0,0.0,0.0
376.68,259.98,71.91,0.0,0.0
78.66,100.94,0.0,0.0,0.0
863.96,389.74,0.0,3020.64,0.0
139.08,195.81,0.02,0.0,0.0
87.23,56.26,0.0,0.0,0.0
83.13,52.63,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.93,11.46,0.0,0.0,0.0
134.43,540.46,0.0,0.0,0.0
136.88,391.89,0.0,0.0,0.0
110.26,126.83,0.0,0.0,0.0
199.31,100.89,0.0,0.0,0.0
270.26,1609.36,0.0,0.0,0.0
119.03,686.28,0.0,0.0,0.0
186.13,299.26,0.0,0.0,0.0
30.31,82.84,0.0,0.0,0.0
53.38,67.24,0.0,0.0,0.0
8.08,38.61,0.0,0.0,0.0
35.06,78.94,0.0,0.0,0.0
390.29,75.53,0.0,0.0,0.0
61.86,9.36,462.01,241.96,0.0
285.79,758.76,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
51.03,11.68,73.6,1049.38,0.0
132.14,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
603.29,673.81,117.5,0.0,0.0
85.29,128.33,0.0,0.0,0.0
213.23,39.76,0.0,0.0,0.0
193.86,317.13,0.0,0.0,0.0
130.84,18.46,359.13,0.0,0.0
315.49,515.68,712.87,0.0,0.0
16.43,153.49,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
53.38,257.44,0.0,0.0,0.0
